label,area,peri,verts,circularity,solidity
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CUBE,9881.0,397.3137083053589,4,0.7865813848371315,0.9929156408581621
CLOVER,8986.5,411.37972366809845,8,0.6672900950547085,0.9445553920538154
SPHERE,9196.0,356.73506212234497,8,0.9080656203586447,0.9936250675310643
PENTAGON,9758.5,383.5807341337204,5,0.8334496306351165,0.99601939270222
PENTAGON,9093.5,370.811182141304,6,0.8310655706389363,0.9874579215984363
SPHERE,8167.5,340.8944424390793,7,0.8832002129472821,0.994762803726935
SPHERE,9175.0,452.1076455116272,8,0.5640690022019993,0.9306689658670183
CLOVER,9250.5,406.2670258283615,4,0.7042906485818461,0.9671197072660742
CLOVER,9298.0,404.3675310611725,4,0.7145734124433054,0.9767319712169756
CUBE,9764.0,394.1421353816986,4,0.7898268700260126,0.9946012019965366
PENTAGON,9686.5,416.2670258283615,6,0.7024779984465834,0.9641186423808102
CLOVER,10145.0,427.76449966430664,7,0.6967106294512077,0.9513761898063487
PENTAGON,8803.0,385.53910398483276,7,0.7442240467341614,0.9575243378473922
SPHERE,8079.5,421.92387998104095,9,0.5703298953697316,0.9543467989605481
CLOVER,9338.5,401.78174459934235,4,0.726953424471171,0.9741810974337576
CUBE,9768.5,392.72792184352875,4,0.7958920852992238,0.9951609616951915
CLOVER,8235.5,391.5807341337204,8,0.6749276229888458,0.9459568113944407
CUBE,9130.0,386.97056245803833,4,0.7661693671705232,0.9848975188781014
PENTAGON,9693.0,451.3380935192108,6,0.5979489348432823,0.9431281926538555
SPHERE,8375.5,344.69343197345734,8,0.8858385799437204,0.9932404387785354
SPHERE,9056.0,355.90663504600525,8,0.8984090310069759,0.9933092025885708
CLOVER,10063.5,424.69343197345734,8,0.7011449750469104,0.9551084325914677
PENTAGON,8513.5,372.811182141304,6,0.7697330674226976,0.9624123897806919
PENTAGON,9276.5,370.811182141304,6,0.8477901540696203,0.9939994642378783
CUBE,9382.5,387.0710676908493,4,0.7869497762968267,0.9984038308060654
SPHERE,7144.0,326.02438521385193,7,0.8446001235907378,0.9927737632017788
PENTAGON,8542.0,384.71067690849304,7,0.7252720681648667,0.9547334302000671
PENTAGON,8472.0,377.39696860313416,6,0.7474790006277667,0.960272031737036
PENTAGON,9278.0,371.39696860313416,6,0.8452545610374607,0.9937342687302523
PENTAGON,8576.5,381.63960921764374,8,0.739968224895549,0.951200576720457
PENTAGON,9269.0,370.56854152679443,6,0.8482144167979025,0.9967738466501774
PENTAGON,8504.0,380.2253956794739,8,0.7391811349983349,0.9485778025655326
PENTAGON,8616.5,390.9533175230026,7,0.7084202237612535,0.9533108369751618
SPHERE,9067.0,355.90663504600525,8,0.8995002963935788,0.9933172655565293
CLOVER,10156.0,438.9360725879669,8,0.6624147728897023,0.9443927840803422
CLOVER,9335.5,400.9533175230026,4,0.72972600758066,0.9755982861323023
